19	11	18	16	19	27	26	30	27	22
24	28	25	27	25	32	20	37	26	26
26	18	23	22	27	25	30	29	32	30
29	32	25	18	32	28	22	28	19	29
33	24	27	34	26	20	28	25	37	26
25	31	22	23	27	27	24	20	29	23
38	29	32	23	20	23	24	19	25	32
25	27	29	18	25	23	24	32	27	22
31	18	27	18	17	25	21	28	22	25
22	28	18	19	24	29	19	30	21	20
28	30	26	31	31	31	15	28	26	22
16	22	19	27	30	26	30	32	28	38
27	33	27	20	19	26	24	26	29	32
24	19	23	21	19	25	29	37	27	17
27	22	20	21	20	21	19	46	22	19
24	25	22	40	29	29	24	23	34	26
27	23	23	27	27	21	26	36	39	33
30	27	27	22	26	34	27	29	35	27
24	18	31	27	18	20	36	27	24	27
22	29	31	26	40	20	26	25	28	28
